iteration,loss,lambda,sparsity
0,2713932016.1187053,6.0,0.0
1,2477058102.184626,5.9405940594059405,0.0
2,2267894715.41362,5.88235294117647,0.0
3,2083134334.4124238,5.825242718446602,0.0
4,1919866393.110005,5.769230769230769,0.0
5,1775529552.8121958,5.714285714285714,0.0
6,1647869716.639868,5.660377358490566,0.0
7,1534903095.2817445,5.607476635514018,0.0
8,1434883716.1680322,5.555555555555555,0.0
9,1346274841.3350437,5.504587155963303,0.0
10,1267723852.0225701,5.454545454545454,0.0
11,1198040052.3157816,5.405405405405405,0.0
12,1136175277.5113387,5.357142857142857,0.0
13,1081206757.8531091,5.3097345132743365,0.0
14,1032322100.4455483,5.263157894736842,0.0
15,988805923.3756217,5.217391304347826,0.0
16,950028309.2849016,5.172413793103448,0.0
17,915434548.2322093,5.128205128205129,0.0
18,884536031.710866,5.084745762711865,0.0
19,856902398.3229907,5.042016806722689,0.0
20,832154525.7973938,5.0,0.0
21,809958605.3218272,4.958677685950414,0.0
22,790020108.0363493,4.918032786885246,0.0
23,772079629.2968068,4.878048780487805,0.0
24,755908517.2190709,4.838709677419355,0.0
25,741305191.2780919,4.8,0.0
26,728091976.4201039,4.761904761904762,0.0
27,716112039.2030627,4.724409448818897,0.0
28,705227086.074884,4.6875,0.0
29,695315090.7929685,4.651162790697675,0.0
30,686268352.4096582,4.615384615384615,0.0
31,677991786.2896429,4.580152671755725,0.0
32,670401420.1437278,4.545454545454545,0.0
33,663423070.4339104,4.511278195488722,0.0
34,656991177.4696072,4.477611940298507,0.0
35,651047780.1229831,4.444444444444444,0.0
36,645541613.3855796,4.411764705882353,0.0
37,640427314.0066122,4.37956204379562,0.0
38,635664721.2286111,4.347826086956522,0.0
39,631218261.1977698,4.316546762589928,0.0
40,627056405.000131,4.285714285714286,0.0
41,623151191.4832151,4.25531914893617,0.0
42,619477807.0857484,4.225352112676057,0.0
43,616014215.8333111,4.195804195804196,0.0
44,612740833.4803634,4.166666666666667,0.0
45,609640240.5027717,4.137931034482759,0.0
46,606696929.2815704,4.109589041095891,0.0
47,603897081.3787029,4.081632653061225,0.0
48,601228371.2981449,4.054054054054054,0.0
49,598679793.5592002,4.026845637583893,0.0
50,596241510.2900072,4.0,0.0
51,593904716.8847151,3.9735099337748343,0.0
52,591661523.5628209,3.9473684210526314,0.0
53,589504850.928764,3.9215686274509802,0.0
54,587428337.8582112,3.896103896103896,0.0
55,585426260.2383744,3.8709677419354835,0.0
56,583493459.2664505,3.846153846153846,0.0
57,581625278.1657566,3.821656050955414,0.0
58,579817506.3159465,3.7974683544303796,0.0
59,578066329.9140428,3.773584905660378,0.0
60,576368288.3889166,3.75,0.0
61,574720235.8850048,3.726708074534162,0.0
62,573119307.2130355,3.7037037037037033,0.0
63,571562887.7376459,3.6809815950920246,0.0
64,570048586.7352381,3.6585365853658534,0.0
65,568574213.8112577,3.6363636363636367,0.0
66,567137758.0152072,3.614457831325301,0.0
67,565737369.3349428,3.5928143712574854,0.0
68,564371417.468265,3.571428571428571,0.0
69,563038250.675013,3.5502958579881656,0.0
70,561736410.4143075,3.529411764705882,0.0
71,560464543.7418768,3.5087719298245617,0.0
72,559221393.1043191,3.488372093023256,0.0
73,558005787.2592214,3.468208092485549,0.0
74,556816633.190131,3.4482758620689657,0.0
75,555652908.9009339,3.4285714285714284,0.0
76,554513656.9878956,3.409090909090909,0.0
77,553397978.899682,3.389830508474576,0.0
78,552305029.8062891,3.3707865168539324,0.0
79,551234107.4684432,3.35195530726257,0.0
80,550184364.2652032,3.333333333333333,0.0
81,549155090.8686826,3.314917127071823,0.0
82,548145615.9728489,3.2967032967032965,0.0
83,547155303.3095163,3.278688524590164,0.0
84,546183572.3367313,3.2608695652173916,0.0
85,545229826.9093361,3.243243243243243,0.0
86,544293520.6816411,3.2258064516129035,0.0
87,543374133.0656921,3.2085561497326203,0.0
88,542471167.4356486,3.191489361702128,0.0
89,541584149.4978088,3.1746031746031744,0.0
90,540712625.8084968,3.1578947368421053,0.0
91,539856162.4240597,3.1413612565445024,0.0
92,539014343.6690394,3.125,0.0
93,538186771.0101645,3.1088082901554404,0.0
94,537373062.0252185,3.0927835051546393,0.0
95,536572849.45706844,3.0769230769230766,0.0
96,535785780.3442429,3.061224489795918,0.0
97,535011515.22040284,3.0456852791878175,0.0
98,534249727.3759082,3.0303030303030303,0.0
99,533500102.17542714,3.0150753768844223,0.0
100,532762336.4262114,3.0,0.0
101,532036137.7922351,2.985074626865672,0.0
102,531321294.69431555,2.9702970297029703,0.0
103,530617464.12153834,2.9556650246305414,0.0
104,529924383.1435658,2.941176470588235,0.0
105,529241797.72752315,2.9268292682926833,0.0
106,528569462.325434,2.912621359223301,0.0
107,527907139.4878278,2.8985507246376807,0.0
108,527254599.5013246,2.8846153846153846,0.0
109,526611620.0482187,2.870813397129187,0.0
110,525977985.88628584,2.857142857142857,0.0
111,525353488.54721487,2.8436018957345968,0.0
112,524737926.05221534,2.830188679245283,0.0
113,524131102.64350075,2.8169014084507045,0.0
114,523532845.03865635,2.803738317757009,0.0
115,522942952.2707815,2.7906976744186043,0.0
116,522361245.77853143,2.7777777777777777,0.0
117,521787552.2846594,2.7649769585253456,0.0
118,521221703.5911418,2.7522935779816518,0.0
119,520663536.3845391,2.73972602739726,0.0
120,520112892.0509247,2.727272727272727,0.0
121,519569616.4997637,2.7149321266968327,0.0
122,519033559.99618405,2.702702702702703,0.0
123,518504577.00111693,2.690582959641256,0.0
